"country_code","region_name","city_name","bay_area"
"US","California","Acampo","Outer Bay"
"US","California","Alameda","East Bay"
"US","California","Alamo","East Bay"
"US","California","Albany","East Bay"
"US","California","Alhambra","East Bay"
"US","California","Allendale","North Bay"
"US","California","Alum Rock","South Bay"
"US","California","Alviso","South Bay"
"US","California","American Canyon","North Bay"
"US","California","Amesti","Outer Bay"
"US","California","Angwin","North Bay"
"US","California","Annapolis","North Bay"
"US","California","Antioch","East Bay"
"US","California","Aptos","Outer Bay"
"US","California","Aptos Hills-Larkin Valley","Outer Bay"
"US","California","Aromas","Outer Bay"
"US","California","Atherton","Peninsula"
"US","California","August","Outer Bay"
"US","California","Bay Point","East Bay"
"US","California","Bayview","East Bay"
"US","California","Belmont","Peninsula"
"US","California","Belvedere","North Bay"
"US","California","Ben Lomond","Outer Bay"
"US","California","Benicia","North Bay"
"US","California","Berkeley","East Bay"
"US","California","Bethel Island","East Bay"
"US","California","Birds Landing","North Bay"
"US","California","Black Point-Green Point","North Bay"
"US","California","Blackhawk","East Bay"
"US","California","Bodega","North Bay"
"US","California","Bodega Bay","North Bay"
"US","California","Bolinas","North Bay"
"US","California","Bonny Doon","Outer Bay"
"US","California","Boulder Creek","Outer Bay"
"US","California","Boyes Hot Springs","North Bay"
"US","California","Brentwood","East Bay"
"US","California","Brisbane","Peninsula"
"US","California","Broadmoor","Peninsula"
"US","California","Brookdale","Outer Bay"
"US","California","Buena Vista","North Bay"
"US","California","Burbank","South Bay"
"US","California","Burlingame","Peninsula"
"US","California","Byron","East Bay"
"US","California","Calistoga","North Bay"
"US","California","Cambrian Park","South Bay"
"US","California","Camp Meeker","North Bay"
"US","California","Canyon","East Bay"
"US","California","Castro Valley","East Bay"
"US","California","Cazadero","North Bay"
"US","California","Cherryland","East Bay"
"US","California","Clayton","East Bay"
"US","California","Cloverdale","North Bay"
"US","California","Collierville","Outer Bay"
"US","California","Colma","Peninsula"
"US","California","Concord","East Bay"
"US","California","Corralitos","Outer Bay"
"US","California","Corte Madera","North Bay"
"US","California","Cotati","North Bay"
"US","California","Country Club","Outer Bay"
"US","California","Crockett","East Bay"
"US","California","Daly City","Peninsula"
"US","California","Danville","East Bay"
"US","California","Davenport","Outer Bay"
"US","California","Day Valley","Outer Bay"
"US","California","Deer Park","North Bay"
"US","California","Diablo","East Bay"
"US","California","Dillon Beach","North Bay"
"US","California","Discovery Bay","East Bay"
"US","California","Dixon","North Bay"
"US","California","Dublin","East Bay"
"US","California","Duncans Mills","North Bay"
"US","California","East Foothills","South Bay"
"US","California","East Palo Alto","Peninsula"
"US","California","East Richmond Heights","East Bay"
"US","California","El Cerrito","East Bay"
"US","California","El Granada","Peninsula"
"US","California","El Sobrante","East Bay"
"US","California","El Verano","North Bay"
"US","California","Eldridge","North Bay"
"US","California","Elmira","North Bay"
"US","California","Emerald Lake Hills","Peninsula"
"US","California","Emeryville","East Bay"
"US","California","Escalon","Outer Bay"
"US","California","Fairfax","North Bay"
"US","California","Fairfield","North Bay"
"US","California","Fairview","East Bay"
"US","California","Farmington","Outer Bay"
"US","California","Felton","Outer Bay"
"US","California","Fetters Hot Springs-Agua Caliente","North Bay"
"US","California","Forestville","North Bay"
"US","California","Foster City","Peninsula"
"US","California","Freedom","Outer Bay"
"US","California","Fremont","East Bay"
"US","California","French Camp","Outer Bay"
"US","California","Fulton","North Bay"
"US","California","Garden Acres","Outer Bay"
"US","California","Geyserville","North Bay"
"US","California","Gilroy","Peninsula"
"US","California","Glen Ellen","North Bay"
"US","California","Graton","North Bay"
"US","California","Green Valley","North Bay"
"US","California","Greenbrae","North Bay"
"US","California","Guerneville","North Bay"
"US","California","Half Moon Bay","Peninsula"
"US","California","Hartley","North Bay"
"US","California","Hayward","East Bay"
"US","California","Healdsburg","North Bay"
"US","California","Hercules","East Bay"
"US","California","Highlands-Baywood Park","Peninsula"
"US","California","Hillsborough","Peninsula"
"US","California","Interlaken","Outer Bay"
"US","California","Inverness","North Bay"
"US","California","Jenner","North Bay"
"US","California","Kennedy","Outer Bay"
"US","California","Kensington","East Bay"
"US","California","Kentfield","North Bay"
"US","California","Kenwood","North Bay"
"US","California","Knightsen","East Bay"
"US","California","Korbel","North Bay"
"US","California","La Honda","Peninsula"
"US","California","La Selva Beach","Outer Bay"
"US","California","Ladera","Peninsula"
"US","California","Lafayette","East Bay"
"US","California","Lagunitas-Forest Knolls","North Bay"
"US","California","Larkfield-Wikiup","North Bay"
"US","California","Larkspur","North Bay"
"US","California","Lathrop","Outer Bay"
"US","California","Lexington Hills","South Bay"
"US","California","Lincoln Village","Outer Bay"
"US","California","Linden","Outer Bay"
"US","California","Live Oak","Outer Bay"
"US","California","Livermore","East Bay"
"US","California","Lockeford","Outer Bay"
"US","California","Lodi","Outer Bay"
"US","California","Lompico","Outer Bay"
"US","California","Loyola","South Bay"
"US","California","Lucas Valley-Marinwood","North Bay"
"US","California","Manteca","Outer Bay"
"US","California","Marin City","North Bay"
"US","California","Marshall","North Bay"
"US","California","Martinez","East Bay"
"US","California","Menlo Park","Peninsula"
"US","California","Mill Valley","North Bay"
"US","California","Millbrae","Peninsula"
"US","California","Montalvin","East Bay"
"US","California","Montara","Peninsula"
"US","California","Montclair","East Bay"
"US","California","Monte Rio","North Bay"
"US","California","Monte Sereno","Peninsula"
"US","California","Morada","Outer Bay"
"US","California","Moraga","East Bay"
"US","California","Moss Beach","Peninsula"
"US","California","Mount Hamilton","South Bay"
"US","California","Mount Hermon","Outer Bay"
"US","California","Napa","North Bay"
"US","California","Newark","East Bay"
"US","California","Nicasio","North Bay"
"US","California","North Fair Oaks","Peninsula"
"US","California","North Richmond","East Bay"
"US","California","Novato","North Bay"
"US","California","Oakland","East Bay"
"US","California","Oakley","East Bay"
"US","California","Oakville","North Bay"
"US","California","Occidental","North Bay"
"US","California","Olema","North Bay"
"US","California","Opal Cliffs","Outer Bay"
"US","California","Orinda","East Bay"
"US","California","Pacheco","East Bay"
"US","California","Pacifica","Peninsula"
"US","California","Paicines","Outer Bay"
"US","California","Pajaro","Outer Bay"
"US","California","Paradise","Outer Bay"
"US","California","Pasatiempo","Outer Bay"
"US","California","Penngrove","North Bay"
"US","California","Pescadero","Peninsula"
"US","California","Petaluma","North Bay"
"US","California","Piedmont","East Bay"
"US","California","Pinole","East Bay"
"US","California","Pittsburg","East Bay"
"US","California","Pleasant Hill","East Bay"
"US","California","Pleasanton","East Bay"
"US","California","Point Reyes Station","North Bay"
"US","California","Pope Valley","North Bay"
"US","California","Port Costa","East Bay"
"US","California","Portola Valley","Peninsula"
"US","California","Redwood City","Peninsula"
"US","California","Redwood Estates","Peninsula"
"US","California","Richmond","East Bay"
"US","California","Ridgemark","Outer Bay"
"US","California","Rio Del Mar","Outer Bay"
"US","California","Rio Dell","North Bay"
"US","California","Rio Nido","North Bay"
"US","California","Rio Vista","North Bay"
"US","California","Ripon","Outer Bay"
"US","California","Rodeo","East Bay"
"US","California","Rohnert Park","North Bay"
"US","California","Rollingwood","East Bay"
"US","California","Roseland","North Bay"
"US","California","Ross","North Bay"
"US","California","Rutherford","North Bay"
"US","California","Saint Helena","North Bay"
"US","California","San Anselmo","North Bay"
"US","California","San Bruno","Peninsula"
"US","California","San Carlos","Peninsula"
"US","California","San Francisco","Peninsula"
"US","California","San Geronimo","North Bay"
"US","California","San Gregorio","Peninsula"
"US","California","San Juan Bautista","South Bay"
"US","California","San Leandro","East Bay"
"US","California","San Martin","South Bay"
"US","California","San Mateo","Peninsula"
"US","California","San Miguel","East Bay"
"US","California","San Pablo","East Bay"
"US","California","San Rafael","North Bay"
"US","California","San Ramon","East Bay"
"US","California","Santa Cruz","South Bay"
"US","California","Santa Rosa","North Bay"
"US","California","Santa Venetia","North Bay"
"US","California","Saranap","East Bay"
"US","California","Sausalito","North Bay"
"US","California","Scotts Valley","South Bay"
"US","California","Sea Ranch","North Bay"
"US","California","Seacliff","Outer Bay"
"US","California","Sebastopol","North Bay"
"US","California","Silverado","North Bay"
"US","California","Sleepy Hollow","North Bay"
"US","California","Soda Springs","North Bay"
"US","California","Sonoma","North Bay"
"US","California","Soquel","Outer Bay"
"US","California","South San Francisco","Peninsula"
"US","California","Stanford","South Bay"
"US","California","Stinson Beach","North Bay"
"US","California","Stockton","Outer Bay"
"US","California","Strawberry","North Bay"
"US","California","Suisun City","North Bay"
"US","California","Sunol","East Bay"
"US","California","Taft Mosswood","Outer Bay"
"US","California","Tamalpais-Homestead Valley","North Bay"
"US","California","Tara Hills","East Bay"
"US","California","Temelec","North Bay"
"US","California","Thornton","Outer Bay"
"US","California","Tiburon","North Bay"
"US","California","Tomales","North Bay"
"US","California","Tracy","Outer Bay"
"US","California","Tres Pinos","Outer Bay"
"US","California","Twin Lakes","Outer Bay"
"US","California","Union City","East Bay"
"US","California","Vacaville","North Bay"
"US","California","Vallejo","North Bay"
"US","California","Valley Ford","North Bay"
"US","California","Vernalis","Outer Bay"
"US","California","Victor","Outer Bay"
"US","California","Villa Grande","North Bay"
"US","California","Vine Hill","East Bay"
"US","California","Walnut Creek","East Bay"
"US","California","West Menlo Park","Peninsula"
"US","California","Windsor","North Bay"
"US","California","Woodacre","North Bay"
"US","California","Woodbridge","Outer Bay"
"US","California","Woodside","Peninsula"
"US","California","Yountville","North Bay"